Arquivo,Modelo,Referencia,Hipotese,WER,CER,RTF,BERTScore
44437_alip_.wav,Vosk,é os jogadores eles uh tão num time hoje aí daí um ano jogam uma temporada num time depois o outro ano tá em outro time o outro tá em outro eles vai vão passando muito rapidamente de um time para o outro e perde aquele aquele amor ao clube aquela dedicação ao clube entendeu não identifica muito com o clube onde ele joga eh então essa é uma é uma diferença é uma mudança que houve no futebol profissional,jogadores são uns e hoje o jogo uma temporada foi outro lugar nenhum outro carinhoso prevenção fashion o outro amor ao clube mundo cursos on line então então a mudança no futebol,0.8125,0.6518518518518519,0.194039962056452,0.6907821
44437_alip_.wav,Whisper,é os jogadores eles uh tão num time hoje aí daí um ano jogam uma temporada num time depois o outro ano tá em outro time o outro tá em outro eles vai vão passando muito rapidamente de um time para o outro e perde aquele aquele amor ao clube aquela dedicação ao clube entendeu não identifica muito com o clube onde ele joga eh então essa é uma é uma diferença é uma mudança que houve no futebol profissional,"é, os jogadores eles estão num time hoje, dá em um ano, jogam uma temporada num time, depois outro ano, tá em outro time, outro, tá em outro, elesaram um bom passando muito rapidamente de um time para o outro e pede aquele amor ao clube, aquela descação ao clube, ele identifica muito com o clube, onde ele joga, então essa é uma, é uma diferença, é uma mudança",0.25,0.21975308641975308,0.06577326468024346,0.85293293
44437_alip_.wav,Wav2Vec2,é os jogadores eles uh tão num time hoje aí daí um ano jogam uma temporada num time depois o outro ano tá em outro time o outro tá em outro eles vai vão passando muito rapidamente de um time para o outro e perde aquele aquele amor ao clube aquela dedicação ao clube entendeu não identifica muito com o clube onde ele joga eh então essa é uma é uma diferença é uma mudança que houve no futebol profissional,dadee os jogadores eles ntão num time hoje a dai um ano jogua uma temporada ne um time depois outro ano taneoutro time e o outro taneotro elisar um bom parsuno muito rapidamente de um time para o outro e pede aquele aquele amour a o clube é pela dibsicasuna um alclube neu nindentisfica muito com o clube onde eles joga e então essa é uma é uma diferença é uma mudança que houve no futebol profissional,0.4125,0.16790123456790124,0.16908781453284946,0.8236581
9811_alip_.wav,Vosk,aí ao banheiro né é um banheiro pe é grande assim eh do jeito assim é bonito assim tem né vaso pia é coisa que todo banheiro tem aí no outro quarto a minha mãe tem a cama dela a as eh a cômoda o guarda roupa,a ir ao banheiro e grande um assim é bonita coisas torneira fiscais da minha mãe cama dela como um guarda roupa,0.7872340425531915,0.5458937198067633,0.1942634812653295,0.72995704
9811_alip_.wav,Whisper,aí ao banheiro né é um banheiro pe é grande assim eh do jeito assim é bonito assim tem né vaso pia é coisa que todo banheiro tem aí no outro quarto a minha mãe tem a cama dela a as eh a cômoda o guarda roupa,"Aí, ao banheiro, né? É grande, assim. Do jeito assim, é bonito, assim, tem vaso, pia, coisa que todo banheiro tem. Aí, no outro caso, a minha mãe tem a cama dela, a cômoda, o lugar da roupa.",0.2765957446808511,0.25120772946859904,0.05450553645498504,0.79185855
9811_alip_.wav,Wav2Vec2,aí ao banheiro né é um banheiro pe é grande assim eh do jeito assim é bonito assim tem né vaso pia é coisa que todo banheiro tem aí no outro quarto a minha mãe tem a cama dela a as eh a cômoda o guarda roupa,a ao banheele ne ambayo p é grande assie do jeito assinho é bonito sinquém ne bargo pir é coisa que todo banheiro tem a inoutro quar da minha mãe tem a cama dela a e a cómoda o guarda- roupa,0.48936170212765956,0.21739130434782608,0.12449840781311272,0.79694664
42913_alip_.wav,Vosk,e seu quarto aqui nessa casa como que é olha o quarto aqui na minha casa é é um quarto bastante pequeno né mas é um quarto legal tal e é um quarto pequeno tem um guarda roupa a minha cama o meu teclado,e o frança,0.9545454545454546,0.9601990049751243,0.21371933413140567,0.66258484
42913_alip_.wav,Whisper,e seu quarto aqui nessa casa como que é olha o quarto aqui na minha casa é é um quarto bastante pequeno né mas é um quarto legal tal e é um quarto pequeno tem um guarda roupa a minha cama o meu teclado,"E o seu quarto aqui na casa? Por que? O quarto aqui na minha casa é... A parte mais pequena, né? Mas... Não gosto de gás, tal. E... O que eu posso queci? E não gosto de rosto? A minha crona? Não que cron...",0.6363636363636364,0.48756218905472637,0.06583185843479486,0.6994727
42913_alip_.wav,Wav2Vec2,e seu quarto aqui nessa casa como que é olha o quarto aqui na minha casa é é um quarto bastante pequeno né mas é um quarto legal tal e é um quarto pequeno tem um guarda roupa a minha cama o meu teclado,e e seu quarto requime ficad quande é oouriquart assina minha casa éa car macacho pequeno na maium caçou legalhotal eeu tase procema e um guaga-roupa a minha croma mopiclo,0.7727272727272727,0.42786069651741293,0.1254366749108083,0.7148888
3360_alip_.wav,Vosk,aí eles foram para um teatro lá que era muito grande tinha competidores nacionais de tudo quanto é cidade ela falou que tinha apresentações muito lindas ela nem acreditou que ela podia ganhar,era muito brilhante a nacionais torta nacionais apresentações muito transitou de ganhar,0.8181818181818182,0.6335078534031413,0.2980691512176609,0.7016975
3360_alip_.wav,Whisper,aí eles foram para um teatro lá que era muito grande tinha competidores nacionais de tudo quanto é cidade ela falou que tinha apresentações muito lindas ela nem acreditou que ela podia ganhar,"Aí eles foram, o Teatro, lá era muito grande, tinha compreendito eles nas cenagens de dor com a cidade, a flor com a apresentação de muitos lindas, ela nem acreditou, ela podia ganhar.",0.5454545454545454,0.32460732984293195,0.07358847366978756,0.78056556
3360_alip_.wav,Wav2Vec2,aí eles foram para um teatro lá que era muito grande tinha competidores nacionais de tudo quanto é cidade ela falou que tinha apresentações muito lindas ela nem acreditou que ela podia ganhar,ae eles foram pom o teatroe láque era muito grandes se as competitores nas cenaige de torpica cidade asouse apresentações muito lindas ela nem a creditor sela podia ganhar,0.6363636363636364,0.2774869109947644,0.12895311681454458,0.75343364
9894_alip_.wav,Vosk,eu acho que eu ah não só nosso país mas comos muitos países pra fora então eu acho que as cri a os adultos também mas as crianças tá demais esse essas esses esse é esse negócio de droga né,caso não sair somos muito sair fora antes que as usados das crianças email esse negócio,0.825,0.5957446808510638,0.28278466807790553,0.68725425
9894_alip_.wav,Whisper,eu acho que eu ah não só nosso país mas comos muitos países pra fora então eu acho que as cri a os adultos também mas as crianças tá demais esse essas esses esse é esse negócio de droga né,"Eu acho que não só na sua país, mas como muitos países para fora, então acho que os adultos também, é uma das crianças, é uma coisa de negócio de yoga.",0.575,0.3617021276595745,0.058394796158894,0.78204983
9894_alip_.wav,Wav2Vec2,eu acho que eu ah não só nosso país mas comos muitos países pra fora então eu acho que as cri a os adultos também mas as crianças tá demais esse essas esses esse é esse negócio de droga né,eu acho que eu a não so nosso país mais como os muitos países para foreton raspy ascria usar dul também mas umas crianças tã demais do se essas preciseeseese negócios de dogane,0.675,0.2712765957446808,0.12787596647997937,0.772766
9815_alip_.wav,Vosk,e meu irmão a gente dividimos o lote meu irmão tá construindo no fundo uma casa também com uma cozinha um quarto uma sala e um banheiro então lá no fundo não tem muro porque,amo a vida e mundo conferindo no fundo uma casa com uma confiança um banho no fundo não tem mundo,0.6571428571428571,0.5086705202312138,0.24517630650238556,0.7534607
9815_alip_.wav,Whisper,e meu irmão a gente dividimos o lote meu irmão tá construindo no fundo uma casa também com uma cozinha um quarto uma sala e um banheiro então lá no fundo não tem muro porque,"e meu irmão a gente dividei muito longe, meu irmão está construindo no fundo uma casa também com uma cozinha, um quarto, uma sala e um banheiro então lá no fundo não tem nuros, porque...",0.14285714285714285,0.10404624277456648,0.06601937453855168,0.8710164
9815_alip_.wav,Wav2Vec2,e meu irmão a gente dividimos o lote meu irmão tá construindo no fundo uma casa também com uma cozinha um quarto uma sala e um banheiro então lá no fundo não tem muro porque,e meu irmão a gente de vide me lote memãia está construindo no fundo uma casa também com uma cozinha um quarte uma fala e um banheiro então lá no fundo não tem muro porque,0.22857142857142856,0.09826589595375723,0.13160068880427966,0.90686417
9741_alip_.wav,Vosk,ela e a amiga né e lá dentro já estava o homossexual eles acabaram discutindo porque ela falou para ele que eles estava traindo ela e traindo justo com um homossexual aí,ela e e lá dentro da sala necessários acabamos discutindo porque ela falou prensado ela entrar com um,0.625,0.5029585798816568,0.28767029167467706,0.76452184
9741_alip_.wav,Whisper,ela e a amiga né e lá dentro já estava o homossexual eles acabaram discutindo porque ela falou para ele que eles estava traindo ela e traindo justo com um homossexual aí,ela e a amiga né e lá dentro já estava a museu que só eles acabaram discutindo porque ela falou o prêmio que ele estava traindo ela e traindo justo com a museu que só,0.34375,0.20118343195266272,0.10848863614976198,0.87628573
9741_alip_.wav,Wav2Vec2,ela e a amiga né e lá dentro já estava o homossexual eles acabaram discutindo porque ela falou para ele que eles estava traindo ela e traindo justo com um homossexual aí,ela e a miigane e lá dentro jotavamo tersolos de acabaram discutindo porque ela falou prero que re estava traindo ela e traindo justo com um uma sexual ai,0.40625,0.20710059171597633,0.12658637159792804,0.8240368
9749_alip_.wav,Vosk,aí ele parou aí ele se desesperou não não parava de sair sangue era sangue e mais sangue mesmo né que foi tomando conta do corpo dela o sangue descia da cabeça pra baixo,a ele ele senhor de sangue geração de sangue mesmo que foi tomando conta do corpo dela sem cabeça,0.5882352941176471,0.47928994082840237,0.3063421764653244,0.7631977
9749_alip_.wav,Whisper,aí ele parou aí ele se desesperou não não parava de sair sangue era sangue e mais sangue mesmo né que foi tomando conta do corpo dela o sangue descia da cabeça pra baixo,"Aí ele parou. Aí ele se desesperou num parava de saição de eração de mais sangue mesmo, que foi como no conto do corpo dela, sangue de cia da cabeça para baixo.",0.4411764705882353,0.20710059171597633,0.08430884871290717,0.78026426
9749_alip_.wav,Wav2Vec2,aí ele parou aí ele se desesperou não não parava de sair sangue era sangue e mais sangue mesmo né que foi tomando conta do corpo dela o sangue descia da cabeça pra baixo,a ele parou a íle se desesperou no mamparava de saisangue era sangue e mais sangue mesmo neki foi tomando conta do corpo dela sangue desguia da cabeça para baixo,0.38235294117647056,0.11834319526627218,0.13039114274384775,0.8605303
9768_alip_.wav,Vosk,se envolvendo com outra pessoa que era era do do serviço dele né que eles trabalhavam junto acabou terminando com a silvia pra ficar com essa outra pessoa aí ele ele,qualquer pessoa que era do serviço deve trabalhar junto juntos cabo terminando ficar outra professor aí ele,0.6774193548387096,0.509090909090909,0.3183641703799367,0.7652242
